,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Daniele Rugani,24,ITA,CB,23-021,90,0,0,0,0,0,0,0,0,82,1,2,1,0.0,0.0,0.0,0,0,67,76,88.2,1,59,1,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Douglas Costa,11,BRA,RW,26-339,17,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.1,4,0,18,20,90.0,3,17,1,2,1,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Gianluigi Buffon,1,ITA,GK,39-203,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,24,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Giorgio Chiellini,3,ITA,CB,33-005,90,0,0,0,0,0,0,0,0,85,1,2,0,0.0,0.0,0.0,0,0,63,72,87.5,4,54,1,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Gonzalo Higuaín,9,ARG,FW,29-252,70,1,0,0,0,4,2,0,0,22,1,0,0,0.3,0.3,0.0,3,0,11,14,78.6,1,19,3,2,2,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Juan Cuadrado,7,COL,RW,29-085,73,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.2,7,1,46,54,85.2,5,40,6,1,1,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Mario Mandžukić,17,CRO,LW,31-090,90,1,0,0,0,4,2,0,0,59,0,3,2,0.2,0.2,0.0,0,0,38,48,79.2,4,29,3,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Miralem Pjanić,5,BIH,DM,27-139,90,0,1,0,0,1,0,0,0,98,1,4,2,0.0,0.0,0.3,3,2,82,89,92.1,8,51,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Paulo Dybala,10,ARG,"AM,FW",23-277,90,1,0,0,0,7,3,0,0,74,0,0,2,0.6,0.6,0.0,5,0,45,54,83.3,6,53,3,6,4,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Sami Khedira,6,GER,"AM,DM",30-137,29,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,1,18,20,90.0,3,14,2,1,1,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Stephan Lichtsteiner,26,SUI,RB,33-215,90,0,1,0,0,0,0,1,0,99,1,2,0,0.0,0.0,0.2,3,1,83,91,91.2,8,58,2,1,1,c6005f97
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Andrea Masiello,5,ITA,CB,31-196,90,0,0,0,0,1,0,0,0,78,3,3,1,0.1,0.1,0.0,1,0,54,63,85.7,9,46,2,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Andrea Petagna,29,ITA,FW,22-051,57,0,0,0,0,3,2,0,0,17,0,0,1,0.1,0.1,0.0,2,0,5,10,50.0,1,17,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Andreas Cornelius,9,DEN,FW,24-157,33,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,2,0,12,16,75.0,1,15,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Bryan Cristante,4,ITA,CM,22-170,74,0,0,0,0,0,0,0,0,48,3,3,0,0.0,0.0,0.1,2,0,31,40,77.5,2,29,0,2,1,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Etrit Berisha,1,ALB,GK,28-163,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,12,19,63.2,0,7,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Hans Hateboer,33,NED,WB,23-223,90,0,0,0,0,0,0,0,0,55,1,0,1,0.0,0.0,0.0,2,0,37,49,75.5,7,30,2,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Jasmin Kurtić,27,SVN,AM,28-222,69,0,0,0,0,2,0,0,0,27,1,0,1,0.1,0.1,0.0,2,0,17,20,85.0,2,17,1,1,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Josip Iličić,72,SVN,AM,29-203,21,0,0,0,0,4,2,0,0,28,0,0,0,0.9,0.9,0.0,1,0,16,22,72.7,3,25,2,2,1,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,José Luis Palomino,6,ARG,CB,27-227,90,0,0,0,0,0,0,0,0,55,1,6,1,0.0,0.0,0.0,0,0,36,40,90.0,4,32,1,1,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Marten de Roon,15,NED,CM,26-144,16,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,1,0,6,8,75.0,1,9,0,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Papu Gómez,10,ARG,FW,29-186,90,0,0,0,0,3,2,0,0,64,1,1,1,0.2,0.2,0.4,12,0,38,51,74.5,7,43,6,9,7,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Rafael Tolói,3,ITA,CB,26-314,90,0,0,0,0,1,0,1,0,70,3,3,2,0.1,0.1,0.0,0,0,46,59,78.0,2,38,3,1,1,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Remo Freuler,11,SUI,CM,25-127,90,0,0,0,0,0,0,0,0,74,2,2,1,0.0,0.0,0.9,3,0,56,66,84.8,9,52,0,1,1,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Atalanta,Robin Gosens,8,GER,WB,23-046,90,0,0,0,0,1,0,0,0,67,5,1,0,0.0,0.0,0.0,1,0,40,54,74.1,10,35,2,0,0,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Aleksandar Kolarov,11,SRB,LB,31-283,90,1,0,0,0,1,1,0,0,92,4,2,2,0.1,0.1,0.1,1,0,55,73,75.3,4,44,5,4,2,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Alisson,1,BRA,GK,24-322,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,24,34,70.6,0,16,0,1,1,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Bruno Peres,25,BRA,RB,27-172,80,0,0,0,0,0,0,0,0,49,5,1,0,0.0,0.0,0.1,2,0,35,43,81.4,3,22,6,1,1,634f9715
ITA-Serie A,1718,2017-08-20 Atalanta-Roma,Roma,Daniele De Rossi,16,ITA,CM,34-027,90,0,0,0,0,0,0,0,0,55,3,2,1,0.0,0.0,0.0,1,0,29,46,63.0,3,17,1,1,1,634f9715
