,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Jonathan Viera,21,ESP,CM,27-301,90,0,0,0,0,1,1,0,0,83,1,0,2,0.0,0.0,0.0,2,0,61,74,82.4,8,63,6,3,3,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Leandro Chichizola,13,ARG,GK,27-144,90,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,0,0,31,46,67.4,0,27,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Mauricio Lemos,3,URU,DM,21-233,77,0,0,0,0,1,0,0,0,62,1,1,0,0.1,0.1,0.0,1,0,52,58,89.7,1,43,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Michel,12,BRA,RB,27-184,6,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,3,7,42.9,0,5,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Pedro Bigas,17,ESP,CB,26-337,90,0,0,0,0,0,0,1,0,68,0,4,3,0.0,0.0,0.0,0,0,50,57,87.7,0,44,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Sergio Araujo,10,ARG,CM,25-202,13,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Tana,24,ESP,CM,26-332,77,0,0,0,0,0,0,0,0,47,2,4,0,0.0,0.0,0.0,0,0,33,38,86.8,1,35,4,3,2,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Vitolo,20,ESP,LM,27-289,90,0,0,0,0,0,0,0,0,61,2,2,3,0.0,0.0,0.1,3,0,43,52,82.7,5,44,6,3,1,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Ximo Navarro,22,ESP,CB,27-207,90,0,0,0,0,1,1,1,0,62,2,0,4,0.0,0.0,0.0,1,0,49,54,90.7,1,40,1,1,1,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Carlos Soler,18,ESP,"LM,CM",20-228,88,0,1,0,0,1,0,0,0,53,1,0,0,0.0,0.0,0.3,8,1,45,49,91.8,6,36,4,1,1,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Valencia,Daniel Parejo,10,ESP,CM,28-124,90,0,0,0,0,2,0,1,0,89,2,1,2,0.1,0.1,0.1,6,0,73,82,89.0,11,42,0,0,0,05e8105f
