,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Florent Mollet,19,FRA,"LM,FW",25-259,21,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,13,17,76.5,1,14,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Gauthier Hein,7,FRA,LW,20-363,58,0,0,0,0,0,0,0,0,31,2,1,1,0.0,0.0,0.0,1,0,22,25,88.0,4,23,1,1,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Gerónimo Poblete,5,ARG,"DM,CM",24-215,90,0,0,0,0,0,0,0,0,77,1,0,1,0.0,0.0,0.0,1,0,64,71,90.1,8,61,0,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Habib Diallo,17,SEN,"FW,DM",22-048,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Ibrahima Niane,14,SEN,"LW,FW",18-147,32,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,14,0,2,2,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Iván Balliu,25,ALB,RB,25-216,90,0,0,0,0,0,0,0,0,71,1,0,1,0.0,0.0,0.1,2,1,53,65,81.5,13,44,0,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Milan Biševac,4,SRB,CB,33-339,90,0,0,0,0,0,0,1,0,55,0,2,0,0.0,0.0,0.0,0,0,45,50,90.0,3,40,1,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Nolan Roux,9,FRA,FW,29-157,69,1,0,0,0,2,2,0,0,23,0,0,0,0.4,0.4,0.0,0,0,11,20,55.0,1,21,1,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Renaud Cohade,24,FRA,"AM,CM",32-310,90,0,1,0,0,2,0,0,0,77,5,1,3,0.1,0.1,0.4,1,1,47,62,75.8,9,51,5,2,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Simon Falette,6,GUI,CB,25-167,90,0,0,0,0,0,0,0,0,76,0,1,0,0.0,0.0,0.0,1,0,62,67,92.5,2,56,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Thomas Didillon,1,FRA,GK,21-250,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,20,31,64.5,0,17,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Yann Jouffre,8,FRA,"RW,RM",33-013,90,0,0,0,0,0,0,0,0,58,1,1,0,0.0,0.0,0.1,3,0,46,54,85.2,4,46,1,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Adama Mbengue,22,SEN,LW,23-247,13,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Alexander Djiku,24,GHA,CB,22-361,90,0,0,0,0,0,0,1,0,64,4,2,2,0.0,0.0,0.0,0,0,41,49,83.7,3,29,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Christian Kouakou,13,CIV,RW,26-157,25,0,0,0,0,0,0,0,0,9,2,0,2,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Durel Avounou,18,CGO,CM,19-314,69,0,0,0,0,0,0,0,0,38,0,1,1,0.0,0.0,0.0,0,0,24,34,70.6,1,15,0,1,1,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Frederic Guilbert,21,FRA,RB,22-224,90,0,0,0,0,0,0,0,0,58,3,3,1,0.0,0.0,0.0,1,0,36,44,81.8,2,16,1,1,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Hervé Bazile,20,HAI,LW,27-140,77,0,0,0,0,4,1,0,0,36,1,1,1,0.1,0.1,0.1,2,0,15,25,60.0,2,26,4,5,2,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Ivan Santini,26,CRO,FW,28-076,90,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0.1,2,0,12,23,52.2,1,10,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Jonathan Delaplace,6,FRA,RM,31-138,90,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.1,5,0,24,31,77.4,5,11,1,1,1,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Julien Féret,25,FRA,"LM,CM",35-031,90,0,0,0,0,1,0,0,0,58,0,1,0,0.0,0.0,0.0,1,0,36,51,70.6,6,17,2,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Romain Genevois,29,HAI,CB,29-281,90,0,0,0,0,0,0,0,0,65,2,2,1,0.0,0.0,0.0,0,0,42,59,71.2,0,29,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Ronny Rodelin,12,FRA,RW,27-260,65,0,0,0,0,1,0,0,0,35,2,0,0,0.0,0.0,0.0,0,0,18,28,64.3,3,10,0,1,1,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Rémy Vercoutre,1,FRA,GK,37-040,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,10,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Stef Peeters,8,BEL,"LM,CM",25-177,21,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,2,0,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Caen,Vincent Bessat,11,FRA,LB,31-270,90,0,0,0,0,1,0,0,0,75,3,1,2,0.0,0.0,0.0,0,0,51,66,77.3,8,21,3,0,0,b2829d08
FRA-Ligue 1,1718,2017-08-05 Montpellier-Caen,Montpellier,Benjamin Lecomte,40,FRA,GK,26-101,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,16,0,0,0,b2829d08
