,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Rick van Drongelen,4,NED,LB,18-242,90,0,0,0,0,0,0,1,0,56,2,2,0,0.0,0.0,0.0,1,0,24,46,52.2,4,14,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Sven Schipplock,19,GER,FW,28-284,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Walace,12,BRA,DM,22-137,90,0,1,0,0,2,2,0,0,37,2,1,0,0.1,0.1,0.1,4,1,23,28,82.1,2,23,1,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Alexander Esswein,7,GER,FW,27-147,67,0,0,0,0,2,1,0,0,26,0,1,0,0.1,0.1,0.0,1,0,13,19,68.4,2,19,1,0,0,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Genki Haraguchi,24,JPN,LM,26-102,15,0,0,0,0,0,0,1,0,3,0,0,1,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Jordan Torunarigha,25,GER,CM,20-012,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Karim Rekik,4,NED,CB,22-260,90,0,1,0,0,0,0,0,0,74,3,1,1,0.0,0.0,0.0,1,0,64,67,95.5,6,54,0,0,0,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Marvin Plattenhardt,21,GER,LB,25-205,90,0,0,0,0,0,0,0,0,71,3,1,2,0.0,0.0,0.0,1,0,50,60,83.3,3,39,2,3,1,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Mathew Leckie,11,AUS,RM,26-196,90,2,0,0,0,4,2,0,0,58,3,1,2,0.3,0.3,0.0,4,1,22,39,56.4,2,36,5,7,3,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Mitchell Weiser,23,GER,RB,23-120,90,0,0,0,0,0,0,1,0,70,4,0,4,0.0,0.0,0.1,3,0,40,52,76.9,3,27,3,7,1,0339770e
GER-Bundesliga,1718,2017-08-19 Hertha BSC-Stuttgart,Hertha BSC,Niklas Stark,5,GER,FW,22-127,23,0,0,0,0,0,0,0,0,11,3,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,1,0,0,0,0339770e
